KW1;KW2;KW3;KW4;KW5;KW6;KW7;KW8;KW9;KW10;KW11;KW12;KW13;KW14;KW15;KW16;KW17;KW18;KW19;KW20;Target
'indiciada'; 'sthephany'; 'matar'; 'jovem'; 'disparo'; 'deus'; 'thayrany'; 'morte'; 'internada'; 'revólver'; 'higor'; 'serra'; 'irmã'; 'polícia'; 'acidental'; 'arma';;;;;1
'rapaz'; 'universitário'; 'homem'; 'rodrigo'; 'disparo'; 'atira'; 'revólver'; 'acidental'; 'samu'; 'frança'; 'apartamento'; 'receber'; 'polícia'; 'amigo'; 'arma'; 'olho';;;;;1
'varanda'; 'garota'; 'casa'; 'crianças'; 'disparo'; 'vítima'; 'mãe'; 'atingida'; 'volta'; 'trabalha'; 'criança'; 'maranhão'; 'polícia'; 'bala'; 'acidental'; 'arma';;;;;1
'usou'; 'sentada'; 'mão'; 'disparo'; 'vítima'; 'terçafeira'; 'atingida'; 'mulher'; 'volta'; 'samu'; 'blumenau'; 'santo'; 'região'; 'arma'; 'fogo';;;;;;1
'segundafeira'; 'rondas'; 'tiros'; 'suspeito'; 'disparo'; 'vítima'; 'atingida'; 'mulher'; 'volta'; 'tentativa'; 'polícia'; 'palhoça'; 'rua'; 'arma'; 'fogo';;;;;;1
'réveillon'; 'última'; 'homem'; 'disparo'; 'vítima'; 'upa'; 'residência'; 'samu'; 'volta'; 'chegava'; 'festa'; 'atingido'; 'atendimento'; 'arma'; 'fogo';;;;;;1
'polícia'; 'sudeste'; 'sido'; 'madrugada'; 'disparo'; 'vítima'; 'paragominas'; 'morre'; 'terçafeira'; 'namorado'; 'acidental'; 'morreu'; 'menino'; 'caseira'; '10'; 'tiro'; 'suposto'; 'arma';;;1
'oliveira'; 'amigo'; 'comete'; 'vila'; 'soldado'; 'polícia'; 'acidental'; 'disparo'; 'goiânia'; 'arma'; 'pm'; 'itatiaia'; 'resistiu'; 'militar'; 'policial'; 'faria'; 'flávio'; 'atingir'; 'suicídio';;1
'academia'; 'social'; 'sul'; 'tiros'; 'jovem'; 'disparo'; 'casos'; 'asa'; 'saúde'; 'participar'; 'tiro'; 'vida'; 'estabelecimento'; 'morre'; 'suicídio';;;;;;1
'oficial'; 'tenente'; 'pm'; 'disparo'; 'militar'; 'diretor'; 'fuga'; 'morte'; 'sextafeira'; 'provocou'; 'severiano'; 'moneta'; 'polícia'; 'acadepol'; 'capitão';;;;;;1
'porcos'; 'selvagens'; 'proteger'; 'crespo'; 'agricultor'; 'homem'; 'disparo'; 'mexia'; 'milho'; 'ro'; 'acidental'; 'rio'; 'rovítima'; 'atingido'; 'morre'; 'arma';;;;;1
'preso'; 'pm'; 'disparo'; 'vítima'; 'morre'; 'atingida'; 'comemoração'; 'criança'; 'menino'; 'padrinho'; 'acidental'; '28'; 'arma';;;;;;;;1
'juiz'; 'jovem'; 'suspeito'; 'disparo'; 'militar'; 'fica'; 'alojada'; 'nuca'; 'informou'; 'nega'; 'bala'; 'atingido'; 'forapolícia';;;;;;;;1
'vieira'; 'suspeitos'; 'disparo'; 'atingida'; 'cruz'; 'volta'; 'alta'; 'casa'; 'l'; 'arma'; 'fogo';;;;;;;;;;1
'polícia'; 'pm'; 'tiro'; 'ferido'; 'tchecaa'; 'disparo'; 'pistola'; 'bh'; 'informou'; 'desembargador'; 'mendonça'; 'acidental'; 'arma';;;;;;;;1
'suspeita'; 'idoso'; 'investiga'; 'disparo'; 'sp'; 'morte'; 'jundiaí'; 'viagemjosé'; 'morreu'; 'morava'; 'polícia'; 'registrado'; 'atingido'; 'arma'; 'fogo';;;;;;1
'morto'; 'moradores'; 'óbito'; 'sidnei'; 'homem'; 'sinais'; 'disparo'; 'vítima'; 'caso'; 'bombeiros'; 'whatsapp'; 'volta'; 'schroeder'; 'sido'; 'arma'; 'fogo';;;;;1
'águia'; '5º'; 'vítima'; 'disparo'; 'militar'; 'volta'; 'policial'; 'rodoviária'; 'polícia'; 'viaoeste'; 'acidental'; 'sp';;;;;;;;;1
'justiça'; 'confusão'; 'paciente'; 'pede'; 'guarda'; 'indenização'; 'disparo'; 'vídeo'; 'upa'; 'mulher'; 'corregedoria'; 'levou'; 'sorocaba'; 'médicos'; 'choque'; 'arma';;;;;1
'peito'; 'morto'; 'pm'; 'policial'; 'chácara'; 'informações'; 'disparo'; 'militar'; 'judiciária'; 'investigado'; 'sorocaba'; 'polícia'; 'atingido'; 'cômodos';;;;;;;1
'meninas'; 'adolescente'; 'pm'; 'pai'; 'darilane'; 'disparo'; 'matou'; 'morte'; 'disse'; 'revólver'; 'policial'; 'casa'; 'amiga'; 'acidental'; 'arma';;;;;;1
'município'; 'célia'; 'guarda'; 'decisão'; 'disparo'; 'atingida'; 'mulher'; 'gcm'; 'disse'; 'corregedoria'; 'nega'; 'sorocaba'; 'advogado'; 'choque'; 'tirar'; 'tentado'; 'arma';;;;1
'motocicleta'; 'perdendo'; 'sul'; 'sábado'; 'homem'; 'disparo'; 'vítima'; 'morte'; 'javali'; 'terreno'; 'silva'; 'caçada'; 'sido'; 'alvorada'; 'atingido'; 'morre'; 'perseguição'; 'sulsegundo';;;1
'projétil'; 'feito'; 'porta'; 'espingarda'; 'sobrinho'; 'disparo'; 'vítima'; 'pressão'; 'primo'; 'ricocheteado'; 'menino'; 'atingido'; 'morre'; 'arma';;;;;;;1
'disparos'; 'caminhoneiro'; 'jovem'; 'atropela'; 'muriaé'; 'disparo'; 'quintafeira'; 'estrada'; 'vermelho'; 'autor'; 'leva'; 'tiro'; 'pescoço'; 'distrito'; 'condutor';;;;;;1
'drogas'; 'pm'; 'tráfico'; 'polícia'; 'viatura'; 'prende'; 'disparo'; 'velha'; 'totalizavam'; 'volta'; 'blumenau'; 'transitando'; 'veículo'; 'carro'; 'aborda'; 'arma'; 'fogo';;;;1
'acusado'; 'matar'; 'suspeito'; 'disparo'; 'dig'; 'disse'; 'ribeirão'; 'marcio'; 'estudante'; 'ônibus'; 'polícia'; 'acidental'; 'arma';;;;;;;;1
'minutos'; 'feito'; 'proprietários'; 'supermercado'; 'disparo'; '2'; 'filho'; 'prainha'; 'armada'; 'quintafeira'; 'dupla'; 'leva'; 'prainhaação'; 'bairro'; 'r';;;;;;1
'minutos'; 'feito'; 'proprietários'; 'supermercado'; 'disparo'; '2'; 'filho'; 'prainha'; 'armada'; 'quintafeira'; 'dupla'; 'leva'; 'prainhaação'; 'bairro'; 'r';;;;;;1
'arma'; 'sala'; 'ocorrido'; 'adventista'; 'nota'; 'disparo'; 'lancheira'; 'promete'; 'aluno'; 'colégio'; 'auxílio'; 'pais'; 'segurança'; 'polícia'; 'alunos'; 'psicológico'; 'fogo';;;;1
'motorista'; 'joão'; 'policiais'; 'homem'; 'ferido'; 'ituvítima'; 'disparo'; 'fica'; 'itu'; 'perna'; 'veículo'; 'atingido'; 'rua'; 'arma'; 'fogo';;;;;;1
'paulo'; 'câmeras'; 'crime'; 'segundos'; 'joão'; 'briga'; 'assassinato'; 'suspeito'; 'taxista'; 'vídeo'; 'audiência'; 'pessoa'; 'flagram'; 'corretor'; 'polícia'; 'trânsito'; 'gustavo';;;;1
'morto'; 'moradores'; 'ibirapuitã'; 'pai'; 'ibirapuitãpai'; 'tiros'; 'filho'; 'residência'; 'troca'; 'famílias'; 'procura'; 'feridos'; 'hospital'; 'deixa';;;;;;;1
'adolescente'; 'tráfico'; 'araçatuba'; 'homem'; 'tiros'; 'jovem'; 'passagens'; 'executado'; 'perna'; 'polícia'; 'rua'; 'tiro';;;;;;;;;1
'disparos'; 'adolescente'; 'proteção'; 'civil'; 'jovens'; 'tiros'; 'irmão'; 'vítimas'; 'pessoa'; 'feridos'; 'detidos'; 'polícia'; 'festa'; 'recife'; 'deixa'; '17'; 'confusão';;;;1
'taubatéequipe'; 'chácara'; 'vítimas'; 'tiros'; 'chegou'; 'mortas'; 'mortos'; 'emergência'; 'homens'; 'taubaté'; 'silvestre';;;;;;;;;;1
'drogas'; 'pm'; 'goiânia'; 'revidaram'; 'tiros'; 'explosivos'; 'kg'; 'suspeitos'; 'termina'; 'rotam'; 'apreensão'; 'recebidas'; 'troca'; 'mortos'; 'presos';;;;;;1
'morto'; 'sábado'; 'tiros'; 'jovem'; 'realizavam'; 'redonda'; 'volta'; 'bloco'; 'carnaval'; 'rj'; 'polícia'; 'rua'; 'tedesco';;;;;;;;1
'assassinado'; 'passaram'; 'motocicleta'; 'sul'; 'teresina'; 'homem'; 'tiros'; 'capinava'; 'zona'; 'vítima'; 'vila'; 'trabalhando'; 'volta'; 'morreu'; 'silva'; 'polícia'; 'repassadas'; 'rua';;;1
'morto'; 'caldas'; 'tiros'; 'jovem'; 'residência'; 'bicicleta'; 'mulher'; 'menina'; 'sair'; 'novascasal'; 'parentes'; 'passeava';;;;;;;;;1
'resende'; 'morto'; 'recebida'; 'roubo'; 'jardim'; 'homem'; 'tiros'; '35'; 'veículo'; 'troca'; 'polícia'; 'taubaté'; 'taubatécaso';;;;;;;;1
'preso'; 'oliveira'; 'municipal'; 'conveniência'; 'ocorreu'; 'sábado'; 'tiros'; 'embriagado'; 'frente'; 'campo'; 'sudoeste'; 'militares'; 'policial'; 'choque'; 'região';;;;;;1
'motocicleta'; 'morto'; 'benevides'; 'sábado'; 'tiros'; 'jovem'; 'militar'; 'belém'; 'metropolitana'; 'silva'; 'otávio'; 'polícia'; 'região';;;;;;;;1
'testemunhas'; 'motocicleta'; 'morto'; 'fronteira'; 'homem'; 'tiros'; 'suspeito'; 'investiga'; 'pistola'; 'caso'; 'vítima'; 'polícia'; 'paraguai';;;;;;;;1
'paulo'; 'morrem'; 'princípio'; 'lindas'; 'delegado'; 'trio'; 'tiros'; 'go'; 'execução'; 'df'; 'alvejado'; 'águas'; 'homens'; 'veículo'; 'carro'; 'entorno';;;;;1
'preso'; 'oliveira'; 'testemunhas'; 'fogo'; 'disparando'; 'policiais'; 'identificou'; 'homem'; 'tiros'; 'suspeito'; 'embriagado'; 'bairro'; 'arma';;;;;;;;1
'morto'; 'maria'; 'petrolina'; 'homem'; 'tiros'; 'zona'; 'vítima'; 'vista'; 'pea'; 'rural'; 'santa'; 'medicina'; 'pe';;;;;;;;1
'teatro'; 'amazonas'; 'morto'; 'êxito'; 'centro'; 'tiros'; 'vítima'; 'urgência'; 'manaus'; 'flanelinha'; 'volta'; 'proximidades'; 'polícia'; 'rua';;;;;;;1
'leopoldo'; 'vale'; 'morto'; 'homem'; 'tiros'; 'encontrado'; 'vítima'; 'identificada'; 'sinos'; 'polícia';;;;;;;;;;;1
'preliminares'; 'morto'; 'homem'; 'tiros'; 'suspeitos'; 'informações'; 'vítima'; 'belém'; 'marambaia'; 'frente'; 'surpreendida'; 'oficina'; 'polícia'; 'carro'; 'prata';;;;;;1
'morto'; '38'; 'homem'; 'tiros'; 'suspeitos'; 'vítima'; 'herveiras'; 'militar'; 'calibre'; 'alcides'; 'volta'; 'brigada';;;;;;;;;1
'pm'; 'clonada'; 'casa'; 'filho'; 'armas'; 'mãe'; 'visualizar'; 'vistoriados'; 'caminhonete'; 'mulher'; 'polícia'; 'veículo'; 'munições'; 'presos'; 'clonado';;;;;;1
'preso'; 'prisão'; 'pm'; 'ilegal'; 'posse'; 'jardim'; 'brasil'; 'homem'; 'armas'; 'polícia'; 'munições'; 'publicidade'; 'fogo';;;;;;;;1
'empresário'; 'cabeça'; 'erechim'; 'rogério'; 'baleado'; 'zambonatto'; 'tentativa'; 'valentim'; 'soccol'; 'estabelecimento'; 'assalto'; 'rua';;;;;;;;;1
'socorrida'; 'homem'; 'zona'; 'militar'; 'rural'; 'marinho'; 'esfaqueia'; 'mata'; 'esposa'; 'mulher'; 'polícia'; 'marinhosegundo'; 'tiro'; 'cônego';;;;;;;1
'morto'; 'desfile'; 'trauma'; 'jovem'; 'tambaú'; 'vítima'; 'resistiu'; 'virgens'; 'equipe'; 'emergência'; 'hospital'; 'tiro'; 'socorrida';;;;;;;;1
'morta'; 'morro'; 'urubu'; 'beatriz'; 'pai'; 'zona'; 'comunidade'; 'corpo'; 'gente'; 'estudante'; 'polícia'; 'tiro'; '18'; 'rua'; 'pra';;;;;;1
'testemunhas'; 'morto'; 'taquarana'; 'cabeça'; 'espingarda'; 'homem'; 'zona'; 'vítima'; 'instituto'; 'polícia'; 'tiro';;;;;;;;;;1
'motorista'; 'cabeça'; 'mostram'; 'ladrão'; 'homem'; 'leite'; 'vídeocrime'; 'vídeo'; 'tentativa'; 'assalto'; 'tiro'; 'recife'; 'atingido'; 'rua'; 'solidônio';;;;;;1
'cabeça'; 'casa'; 'jovem'; 'tio'; 'vítima'; 'padrasto'; 'bh'; 'disse'; 'revólver'; 'polícia'; 'tiro'; '18'; 'morre'; 'arma';;;;;;;1
'sc'; 'cobrar'; 'morta'; 'pm'; 'quintal'; 'dono'; 'casa'; 'avó'; 'falou'; 'atingida'; 'pitbull'; 'disse'; 'pátio'; 'cachorra'; 'policial'; 'cadela'; 'tiro'; 'animal';;;1
'paredes'; 'moradores'; 'rasantes'; 'tiro'; 'paredesaeronaves'; 'saíram'; 'tiros'; 'assusta'; 'tv'; 'relata'; 'cidade'; 'polícia'; 'vizinha'; 'deus'; 'operação'; 'relatos'; 'geladeira';;;;1
'via'; 'segundafeira'; 'morto'; 'cabeça'; 'manhã'; 'beira'; 'jovem'; 'encontrado'; 'trecho'; 'polícia'; 'tiro'; 'dutra';;;;;;;;;1
'preso'; 'motorista'; 'escapa'; 'ninguém'; 'roubar'; 'volantesuspeitos'; 'fica'; 'presa'; 'tentativa'; 'iguaçu'; 'polícia'; 'miguel'; 'tiro'; 'assalto'; 'bala'; 'volante';;;;;1
'peito'; 'morto'; 'empresário'; 'verificar'; 'vítima'; 'mossoró'; 'ação'; 'tentativa'; 'assaltantes'; 'polícia'; 'perceber'; 'tiro'; 'assalto'; 'arma';;;;;;;1
'cabo'; 'portão'; 'cabeça'; 'pm'; 'manhã'; 'segundafeira'; 'teresina'; 'militar'; 'clesia'; 'gaeco'; 'policial'; 'tiro'; 'vida'; 'morre';;;;;;;1
'licença'; 'homem'; 'levar'; 'cão'; 'rede'; 'tiro'; 'arma'; 'perde';;;;;;;;;;;;;1
'sena'; 'am'; 'socorrido'; 'cabeça'; 'seringal'; 'ac'; 'levar'; 'bombeiros'; 'madureira'; 'miguel'; 'tiro'; 'socorreram'; 'pescador';;;;;;;;1
'rapaz'; 'motivado'; 'prudente'; 'vila'; 'prudentepolícia'; 'presidente'; 'nuca'; 'santa'; 'shows'; 'helena'; 'sido'; 'tiro'; 'morre';;;;;;;;1
'morto'; 'ouve'; 'polícia'; 'barulho'; 'vítimaamaral'; 'civil'; 'encontra'; 'militar'; 'encontrou'; 'corpo'; 'mulher'; 'fazenda'; 'palmas'; 'irmã'; 'irmão'; 'tiro'; 'carro';;;;1
'morto'; 'adolescente'; 'recanto'; 'emas'; 'distribuidora'; 'informações'; 'vítima'; 'volta'; 'quadra'; 'polícia'; 'hospital'; 'tiro'; 'região'; 'aconteceu';;;;;;;1
'rosto'; 'adolescente'; 'morta'; '15'; 'pai'; 'casa'; 'comemorar'; 'jovem'; 'zona'; 'vítima'; 'norte'; 'namorado'; 'disse'; 'camylli'; 'tiro'; 'souza';;;;;1
'municipal'; 'grossa'; '5'; 'pai'; 'guarda'; 'leves'; 'avó'; 'hospital'; 'atingida'; 'menina'; 'mulher'; 'criança'; 'disparado'; 'tiro'; 'ponta'; 'levada';;;;;1
'40'; 'disparos'; 'pm'; 'detido'; 'homem'; 'juiz'; 'disparo'; 'vítima'; 'colete'; 'porte'; 'esposa'; 'autor'; 'polícia'; 'irregular'; 'arma'; 'fogo';;;;;1
'preso'; 'testar'; 'disparos'; 'comprar'; 'fogo'; 'policiais'; 'homem'; 'pistola'; 'pessoa'; 'informou'; 'alto'; 'casa'; 'arma';;;;;;;;1
'disparos'; 'morto'; 'crime'; 'acionada'; 'vida'; 'maguila'; 'vítima'; 'informações'; 'óbitoa'; 'alvejado'; 'borracheiro'; 'luzia'; 'santa'; 'volta'; 'polícia'; 'trabalhava'; 'arma'; 'fogo';;;1
'plásticos'; 'pardo'; 'maconha'; 'fogo'; 'armas'; 'sacos'; 'rio'; 'receberam'; 'quilos'; 'minas'; 'preso'; 'homem'; 'suspeito';;;;;;;;0
'público'; 'paraná'; 'armas'; 'inquérito'; 'restrito'; 'posse'; 'dono'; 'indiciado'; 'polícia'; 'encontradas'; 'uso'; 'preso'; 'clínicas'; 'paulo'; 'nicolau'; 'psiquiátricas';;;;;0
'fogo'; 'armas'; '38'; 'pm'; 'sábado'; 'arma'; 'madrugada'; 'munições'; 'revólver'; 'registrada'; 'polícia'; 'calibre'; 'pistola'; 'ocorrência'; 'delegacia'; 'apreende';;;;;0
'registro'; '22'; 'distrito'; 'revólveres'; 'fogo'; 'armas'; '38'; 'pm'; 'federal'; 'arma'; 'munições'; 'calibre'; 'pistola'; 'apreende';;;;;;;0
'tucuruí'; 'deca'; 'fogo'; 'armas'; 'flagrante'; 'equipe'; 'ilegal'; 'apreendidas'; 'policiais'; 'marabá'; 'operação'; 'civis'; 'policial'; 'presos'; 'suspeitos';;;;;;0
'militar'; 'jovens'; 'armas'; 'envolvidos'; 'munição'; 'detido'; 'pm'; 'segundafeira'; 'polícia'; 'munições'; 'divinópolis'; 'detidas'; 'quintino';;;;;;;;0
'políticos'; 'mensagens'; 'bolsonaro'; 'falsas'; 'revelou'; 'laranjas'; 'mira'; 'candidatos'; 'eleições'; 'eleitoral'; 'notícias'; 'whatsapp'; 'massa'; 'disparo'; 'mp'; 'processo'; 'serviços';;;;0
'vítima'; 'esposa'; 'disparos'; 'fogo'; 'irregular'; '40'; 'detido'; 'porte'; 'pm'; 'arma'; 'polícia'; 'autor'; 'juiz'; 'disparo'; 'colete'; 'homem';;;;;0
'escola'; 'linhares'; 'drogas'; 'aulas'; 'polícia'; 'prender'; 'policiais'; 'tráfico'; 'jovem'; 'policial'; 'disparo'; 'militares'; 'alunos'; 'delegacia';;;;;;;0
'youtube'; 'disparo'; 'laranjas'; 'eleições'; 'whatsapp'; 'notícia'; 'telegram'; 'utilizados'; 'investigar'; 'mensagens'; 'usado'; 'candidaturas'; 'serviços'; 'notícias'; 'uso'; 'massa'; 'twitter'; 'uola'; 'justiça';;0
'detidos'; 'jovens'; 'foraarma'; 'janela'; 'pm'; 'localizadas'; 'munições'; 'ônibus'; 'juiz'; 'disparo';;;;;;;;;;;0
'sorriso'; 'rondas'; 'revoltado'; 'tenta'; 'arma'; 'serem'; 'êxito'; 'reprodução'; 'tirar'; 'disparo'; 'tentando'; 'policial'; 'guarnição'; 'efetuar'; 'relato'; 'tática';;;;;0
'foragidos'; '103'; '5'; 'números'; 'pcdf'; 'violência'; 'polícia'; 'ações'; 'segundafeira'; 'repressão'; 'qualificada'; 'operação'; 'mandados'; 'disparo'; 'cumpridos'; 'prende'; 'dias'; 'justiça';;;0
'loja'; 'filho'; 'disse'; '9'; 'trás'; 'vídeo'; 'argentina'; 'tenta'; 'arma'; 'brinquedo'; 'assaltar'; 'daniela'; 'joalheria'; 'menino';;;;;;;0
'casa'; 'fogo'; 'roubadospolícia'; 'prisão'; 'drogas'; 'arma'; 'objetos'; 'setor'; 'tráfico'; 'preso'; 'informou'; 'investigações'; 'ii'; 'suspeito'; 'roubados';;;;;;0
'celular'; 'muro'; 'prefeito'; 'pf'; 'tentou'; 'posse'; 'arma'; 'eleitoral'; 'polícia'; 'objetos'; 'oliveira'; 'preso'; 'jogar'; 'suspeito'; 'fraude';;;;;;0
